benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,runs_scanned,prior_recommended,agentlog_additions,summary_confirmed,uncorroborated,tail_unresolved,inconsistent,multi_run_log,source_changed,log_missing,no_summary_evidence
swebench,ablation,devstral24b,d05__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.5,90,57,3,29,0,31,0,0,0,0,30
swebench,ablation,devstral24b,d05__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.5,90,1,60,60,0,0,1,0,0,0,29
swebench,ablation,devstral24b,d05__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.5,90,63,0,7,0,56,0,0,0,0,27
swebench,ablation,devstral24b,d07__b17k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,17000,0.7,90,1,79,80,0,0,0,0,0,0,10
swebench,ablation,devstral24b,d07__b17k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,17000,0.7,90,69,6,36,0,39,0,0,0,0,15
swebench,ablation,devstral24b,d07__b17k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,17000,0.7,90,6,77,80,0,3,0,0,0,0,7
swebench,ablation,devstral24b,d07__b17k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,17000,0.7,90,79,2,10,0,71,0,0,0,0,9
swebench,ablation,devstral24b,d07__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.7,90,3,63,63,0,3,0,0,0,0,24
swebench,ablation,devstral24b,d07__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.7,90,55,6,27,0,33,1,0,0,0,29
swebench,ablation,devstral24b,d07__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.7,90,2,73,73,0,1,1,0,0,0,15
swebench,ablation,devstral24b,d07__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.7,90,67,0,3,0,63,1,0,0,0,23
swebench,ablation,devstral24b,d07__b24k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,24000,0.7,90,2,57,57,0,2,0,0,0,0,31
swebench,ablation,devstral24b,d07__b24k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,24000,0.7,90,51,1,24,0,28,0,0,0,0,38
swebench,ablation,devstral24b,d07__b24k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,24000,0.7,90,0,64,64,0,0,0,0,0,0,26
swebench,ablation,devstral24b,d07__b24k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,24000,0.7,90,55,1,3,0,49,4,0,0,0,34
swebench,ablation,devstral24b,di__b17k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,17000,0.5,90,18,2,2,17,1,0,0,0,0,70
swebench,ablation,devstral24b,di__b17k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,17000,0.5,90,20,0,2,13,5,0,0,0,0,70
swebench,ablation,devstral24b,di__b17k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,17000,0.5,90,2,17,19,0,0,0,0,0,0,71
swebench,ablation,devstral24b,di__b17k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,17000,0.5,90,2,20,22,0,0,0,0,0,0,68
swebench,ablation,devstral24b,di__b24k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,24000,0.5,90,10,0,0,9,1,0,0,0,0,80
swebench,ablation,devstral24b,di__b24k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,24000,0.5,90,7,0,1,6,0,0,0,0,0,83
swebench,ablation,devstral24b,di__b24k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,24000,0.5,90,0,3,3,0,0,0,0,0,0,87
swebench,ablation,devstral24b,di__b24k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,24000,0.5,90,0,3,3,0,0,0,0,0,0,87
swebench,ablation,qwen35b,d03__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.3,90,48,26,38,0,36,0,0,0,0,16
swebench,ablation,qwen35b,d03__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.3,90,69,7,59,0,17,0,0,0,0,14
swebench,ablation,qwen35b,d03__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.3,90,35,40,59,0,15,0,0,0,0,16
swebench,ablation,qwen35b,d03__b10k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,10000,0.3,90,55,18,64,1,8,0,0,0,0,17
swebench,ablation,qwen35b,d03__b15k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,15000,0.3,90,19,39,44,0,14,0,0,0,0,32
swebench,ablation,qwen35b,d03__b15k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,15000,0.3,90,50,9,51,0,6,2,0,0,0,31
swebench,ablation,qwen35b,d03__b15k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,15000,0.3,90,16,31,38,0,9,0,0,0,0,43
swebench,ablation,qwen35b,d03__b15k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,15000,0.3,90,33,21,50,0,4,0,0,0,0,36
swebench,ablation,qwen35b,d03__b20k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,20000,0.3,90,9,31,31,0,9,0,0,0,0,50
swebench,ablation,qwen35b,d03__b20k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,20000,0.3,90,31,13,35,1,8,0,0,0,0,46
swebench,ablation,qwen35b,d03__b20k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,20000,0.3,90,8,30,34,0,3,0,0,0,0,53
swebench,ablation,qwen35b,d03__b20k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,20000,0.3,90,32,7,34,0,5,0,0,0,0,51
swebench,ablation,qwen35b,d07__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.7,90,41,31,39,0,33,0,0,0,0,18
swebench,ablation,qwen35b,d07__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.7,90,71,4,67,0,8,0,0,0,0,15
swebench,ablation,qwen35b,d07__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.7,90,33,39,62,0,9,1,0,0,0,18
swebench,ablation,qwen35b,d07__b10k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,10000,0.7,90,59,14,65,0,7,1,0,0,0,17
swebench,ablation,qwen35b,d07__b15k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,15000,0.7,90,21,34,40,0,14,1,0,0,0,35
swebench,ablation,qwen35b,d07__b15k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,15000,0.7,90,53,9,53,0,8,1,0,0,0,28
swebench,ablation,qwen35b,d07__b15k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,15000,0.7,90,13,44,49,0,7,1,0,0,0,33
swebench,ablation,qwen35b,d07__b15k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,15000,0.7,90,44,15,52,0,6,1,0,0,0,31
swebench,ablation,qwen35b,d07__b20k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,20000,0.7,90,14,29,30,1,12,0,0,0,0,47
swebench,ablation,qwen35b,d07__b20k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,20000,0.7,90,38,3,36,0,4,1,0,0,0,49
swebench,ablation,qwen35b,d07__b20k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,20000,0.7,90,3,39,41,1,0,0,0,0,0,48
swebench,ablation,qwen35b,d07__b20k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,20000,0.7,90,24,11,24,0,10,1,0,0,0,55
swebench,main,devstral24b,d05__b21k__ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize,21000,0.5,300,10,211,213,0,8,0,0,0,0,79
swebench,main,devstral24b,d05__b21k__ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,structured_summarize_partial,21000,0.5,300,210,8,82,0,136,0,0,0,0,82
swebench,main,devstral24b,d05__b21k__su-full,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization,21000,0.5,300,6,235,236,0,5,0,0,0,0,59
swebench,main,devstral24b,d05__b21k__su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,summarization_partial,21000,0.5,300,236,2,39,0,199,0,0,0,0,62
swebench,main,devstral24b,di__b21k__otrc-ss-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_structured_summarize_partial,21000,0.5,300,35,1,2,31,3,0,0,0,0,264
swebench,main,devstral24b,di__b21k__otrc-su-partial,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,online_trc_summarize_partial,21000,0.5,300,45,2,1,39,7,0,0,0,0,253
swebench,main,devstral24b,di__b21k__trc-ss,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_structured_summarize,21000,0.5,300,1,44,45,0,0,0,0,0,0,255
swebench,main,devstral24b,di__b21k__trc-su,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,trc_summarize,21000,0.5,300,3,47,50,0,0,0,0,0,0,250
swebench,main,glm47flash,d05__bP__ss,hosted_vllm/zai-org/GLM-4.7-Flash,structured_summarize,13000,0.5,206,81,103,134,0,49,1,0,0,0,22
swebench,main,glm47flash,d05__bP__su-full,hosted_vllm/zai-org/GLM-4.7-Flash,summarization,13000,0.5,300,93,166,199,2,57,1,0,0,0,41
swebench,main,glm47flash,d05__bP__su-partial,hosted_vllm/zai-org/GLM-4.7-Flash,summarization_partial,13000,0.5,300,248,14,101,0,160,1,0,0,0,38
swebench,main,qwen35b,d05__b10k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,10000,0.5,300,178,88,115,1,106,24,20,0,0,34
swebench,main,qwen35b,d05__b10k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,10000,0.5,300,241,26,184,0,28,21,34,0,0,33
swebench,main,qwen35b,d05__b10k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,10000,0.5,300,110,142,157,1,51,20,23,0,0,48
swebench,main,qwen35b,d05__b10k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,10000,0.5,300,206,65,198,0,21,21,31,0,0,29
swebench,main,qwen35b,d05__b15k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,15000,0.5,300,77,125,106,3,37,18,38,0,0,98
swebench,main,qwen35b,d05__b15k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,15000,0.5,300,175,61,162,2,23,13,36,0,0,64
swebench,main,qwen35b,d05__b15k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,15000,0.5,300,56,152,131,1,21,20,35,0,0,92
swebench,main,qwen35b,d05__b15k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,15000,0.5,300,142,67,140,0,16,13,40,0,0,91
swebench,main,qwen35b,d05__b20k__ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize,20000,0.5,300,29,133,96,0,22,16,26,0,0,140
swebench,main,qwen35b,d05__b20k__ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,structured_summarize_partial,20000,0.5,300,118,47,110,1,21,10,23,0,0,135
swebench,main,qwen35b,d05__b20k__su-full,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization,20000,0.5,300,25,125,93,3,14,12,27,0,0,151
swebench,main,qwen35b,d05__b20k__su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,summarization_partial,20000,0.5,300,90,64,97,0,15,17,25,0,0,146
swebench,main,qwen35b,di__b10k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,10000,0.5,300,186,26,109,78,24,1,0,0,0,88
swebench,main,qwen35b,di__b10k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,10000,0.5,300,165,35,117,60,21,2,0,0,0,100
swebench,main,qwen35b,di__b10k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,10000,0.5,300,52,121,161,0,11,0,0,0,0,128
swebench,main,qwen35b,di__b10k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,10000,0.5,300,40,133,165,0,7,1,0,0,0,127
swebench,main,qwen35b,di__b15k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,15000,0.5,300,107,17,39,62,20,3,0,0,0,176
swebench,main,qwen35b,di__b15k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,15000,0.5,300,108,13,48,61,12,0,0,0,0,179
swebench,main,qwen35b,di__b15k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,15000,0.5,300,10,56,59,0,6,1,0,0,0,234
swebench,main,qwen35b,di__b15k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,15000,0.5,300,10,69,76,0,2,1,0,0,0,221
swebench,main,qwen35b,di__b20k__otrc-ss-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_structured_summarize_partial,20000,0.5,300,45,5,18,22,10,0,0,0,0,250
swebench,main,qwen35b,di__b20k__otrc-su-partial,hosted_vllm/Qwen/Qwen3.5-35B-A3B,online_trc_summarize_partial,20000,0.5,300,48,7,21,24,9,1,0,0,0,245
swebench,main,qwen35b,di__b20k__trc-ss,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_structured_summarize,20000,0.5,300,5,20,20,0,4,1,0,0,0,275
swebench,main,qwen35b,di__b20k__trc-su,hosted_vllm/Qwen/Qwen3.5-35B-A3B,trc_summarize,20000,0.5,300,11,21,26,0,5,1,0,0,0,268
