cell	key	task	condition	run	started_at_CDT	source_run_dir	source_job_dir
di__b4k__otrc-ss-partial	modernize-fortran-build__otrc-ss-partial__r1	modernize-fortran-build	otrc-ss-partial	1	2026-09-06T02:35:27.604522-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/modernize-fortran-build/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	new-encrypt-command__otrc-ss-partial__r1	new-encrypt-command	otrc-ss-partial	1	2026-09-06T02:50:14.109807-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/new-encrypt-command/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	password-recovery__otrc-ss-partial__r1	password-recovery	otrc-ss-partial	1	2026-09-06T02:58:14.995524-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/password-recovery/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	path-tracing-reverse__otrc-ss-partial__r1	path-tracing-reverse	otrc-ss-partial	1	2026-09-06T02:09:27.411536-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/path-tracing-reverse/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	processing-pipeline__otrc-ss-partial__r1	processing-pipeline	otrc-ss-partial	1	2026-09-06T02:34:00.172529-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/processing-pipeline/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	prove-plus-comm__otrc-ss-partial__r1	prove-plus-comm	otrc-ss-partial	1	2026-09-06T02:08:47.787545-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/prove-plus-comm/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	pytorch-model-cli.hard__otrc-ss-partial__r1	pytorch-model-cli.hard	otrc-ss-partial	1	2026-09-06T02:11:39.592119-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/pytorch-model-cli.hard/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	qemu-alpine-ssh__otrc-ss-partial__r1	qemu-alpine-ssh	otrc-ss-partial	1	2026-09-06T02:22:17.204294-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/qemu-alpine-ssh/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	qemu-startup__otrc-ss-partial__r1	qemu-startup	otrc-ss-partial	1	2026-09-06T03:04:34.282325-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/qemu-startup/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	raman-fitting.easy__otrc-ss-partial__r1	raman-fitting.easy	otrc-ss-partial	1	2026-09-06T02:08:47.779155-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/raman-fitting.easy/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	sanitize-git-repo__otrc-ss-partial__r1	sanitize-git-repo	otrc-ss-partial	1	2026-09-06T02:27:35.234551-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/sanitize-git-repo/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	sanitize-git-repo.hard__otrc-ss-partial__r1	sanitize-git-repo.hard	otrc-ss-partial	1	2026-09-06T03:11:57.577820-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/sanitize-git-repo.hard/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	solana-data__otrc-ss-partial__r1	solana-data	otrc-ss-partial	1	2026-09-06T02:15:50.310296-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/solana-data/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	sqlite-with-gcov__otrc-ss-partial__r1	sqlite-with-gcov	otrc-ss-partial	1	2026-09-06T02:15:55.318381-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/sqlite-with-gcov/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	super-benchmark-upet__otrc-ss-partial__r1	super-benchmark-upet	otrc-ss-partial	1	2026-09-06T02:48:16.944792-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/super-benchmark-upet/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	swe-bench-astropy-2__otrc-ss-partial__r1	swe-bench-astropy-2	otrc-ss-partial	1	2026-09-06T03:00:43.626453-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/swe-bench-astropy-2/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	swe-bench-fsspec__otrc-ss-partial__r1	swe-bench-fsspec	otrc-ss-partial	1	2026-09-06T02:32:43.067926-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/swe-bench-fsspec/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	tmux-advanced-workflow__otrc-ss-partial__r1	tmux-advanced-workflow	otrc-ss-partial	1	2026-09-06T02:08:47.736830-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/tmux-advanced-workflow/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	write-compressor__otrc-ss-partial__r1	write-compressor	otrc-ss-partial	1	2026-09-06T02:58:10.132835-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/write-compressor/otrc-ss-partial/run_1	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r1-1788678526318
di__b4k__otrc-ss-partial	blind-maze-explorer-5x5__otrc-ss-partial__r2	blind-maze-explorer-5x5	otrc-ss-partial	2	2026-09-06T05:06:52.079581-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/blind-maze-explorer-5x5/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	blind-maze-explorer-algorithm__otrc-ss-partial__r2	blind-maze-explorer-algorithm	otrc-ss-partial	2	2026-09-06T04:23:43.461294-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/blind-maze-explorer-algorithm/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	cartpole-rl-training__otrc-ss-partial__r2	cartpole-rl-training	otrc-ss-partial	2	2026-09-06T05:08:48.649081-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/cartpole-rl-training/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	count-dataset-tokens__otrc-ss-partial__r2	count-dataset-tokens	otrc-ss-partial	2	2026-09-06T04:00:12.014512-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/count-dataset-tokens/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	crack-7z-hash.hard__otrc-ss-partial__r2	crack-7z-hash.hard	otrc-ss-partial	2	2026-09-06T04:45:32.021145-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/crack-7z-hash.hard/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	csv-to-parquet__otrc-ss-partial__r2	csv-to-parquet	otrc-ss-partial	2	2026-09-06T04:17:17.496891-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/csv-to-parquet/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	decommissioning-service-with-sensitive-data__otrc-ss-partial__r2	decommissioning-service-with-sensitive-data	otrc-ss-partial	2	2026-09-06T05:04:43.359920-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/decommissioning-service-with-sensitive-data/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	download-youtube__otrc-ss-partial__r2	download-youtube	otrc-ss-partial	2	2026-09-06T04:51:55.844550-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/download-youtube/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	eval-mteb__otrc-ss-partial__r2	eval-mteb	otrc-ss-partial	2	2026-09-06T04:10:36.973465-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/eval-mteb/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	eval-mteb.hard__otrc-ss-partial__r2	eval-mteb.hard	otrc-ss-partial	2	2026-09-06T05:01:36.285495-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/eval-mteb.hard/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	extract-moves-from-video__otrc-ss-partial__r2	extract-moves-from-video	otrc-ss-partial	2	2026-09-06T04:25:30.997338-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/extract-moves-from-video/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	fibonacci-server__otrc-ss-partial__r2	fibonacci-server	otrc-ss-partial	2	2026-09-06T04:07:06.690516-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fibonacci-server/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	fix-git__otrc-ss-partial__r2	fix-git	otrc-ss-partial	2	2026-09-06T04:40:58.673546-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fix-git/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	fix-pandas-version__otrc-ss-partial__r2	fix-pandas-version	otrc-ss-partial	2	2026-09-06T04:13:40.591354-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fix-pandas-version/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	fix-permissions__otrc-ss-partial__r2	fix-permissions	otrc-ss-partial	2	2026-09-06T04:00:16.329039-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/fix-permissions/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	git-workflow-hack__otrc-ss-partial__r2	git-workflow-hack	otrc-ss-partial	2	2026-09-06T04:39:08.473480-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/git-workflow-hack/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	gpt2-codegolf__otrc-ss-partial__r2	gpt2-codegolf	otrc-ss-partial	2	2026-09-06T04:07:18.033062-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/gpt2-codegolf/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	heterogeneous-dates__otrc-ss-partial__r2	heterogeneous-dates	otrc-ss-partial	2	2026-09-06T05:12:17.359432-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/heterogeneous-dates/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	hf-model-inference__otrc-ss-partial__r2	hf-model-inference	otrc-ss-partial	2	2026-09-06T04:13:38.970425-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/hf-model-inference/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	incompatible-python-fasttext__otrc-ss-partial__r2	incompatible-python-fasttext	otrc-ss-partial	2	2026-09-06T03:53:44.120003-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/incompatible-python-fasttext/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	intrusion-detection__otrc-ss-partial__r2	intrusion-detection	otrc-ss-partial	2	2026-09-06T04:37:28.262121-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/intrusion-detection/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	modernize-fortran-build__otrc-ss-partial__r2	modernize-fortran-build	otrc-ss-partial	2	2026-09-06T04:23:17.732060-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/modernize-fortran-build/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	new-encrypt-command__otrc-ss-partial__r2	new-encrypt-command	otrc-ss-partial	2	2026-09-06T04:35:27.296531-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/new-encrypt-command/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	password-recovery__otrc-ss-partial__r2	password-recovery	otrc-ss-partial	2	2026-09-06T04:43:55.150698-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/password-recovery/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	path-tracing-reverse__otrc-ss-partial__r2	path-tracing-reverse	otrc-ss-partial	2	2026-09-06T03:54:26.799041-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/path-tracing-reverse/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	processing-pipeline__otrc-ss-partial__r2	processing-pipeline	otrc-ss-partial	2	2026-09-06T04:20:59.880126-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/processing-pipeline/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	prove-plus-comm__otrc-ss-partial__r2	prove-plus-comm	otrc-ss-partial	2	2026-09-06T03:53:44.124233-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/prove-plus-comm/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	pytorch-model-cli.hard__otrc-ss-partial__r2	pytorch-model-cli.hard	otrc-ss-partial	2	2026-09-06T04:00:14.878256-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/pytorch-model-cli.hard/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	qemu-alpine-ssh__otrc-ss-partial__r2	qemu-alpine-ssh	otrc-ss-partial	2	2026-09-06T04:07:26.308429-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/qemu-alpine-ssh/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	qemu-startup__otrc-ss-partial__r2	qemu-startup	otrc-ss-partial	2	2026-09-06T04:50:19.090678-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/qemu-startup/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	raman-fitting.easy__otrc-ss-partial__r2	raman-fitting.easy	otrc-ss-partial	2	2026-09-06T03:53:44.115884-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/raman-fitting.easy/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	sanitize-git-repo__otrc-ss-partial__r2	sanitize-git-repo	otrc-ss-partial	2	2026-09-06T04:14:36.807005-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/sanitize-git-repo/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
di__b4k__otrc-ss-partial	sanitize-git-repo.hard__otrc-ss-partial__r2	sanitize-git-repo.hard	otrc-ss-partial	2	2026-09-06T04:58:20.732518-05:00	ICLR_results/terminalbench/main/devstral24b/di__b4k__otrc-ss-partial/sanitize-git-repo.hard/otrc-ss-partial/run_2	logs/harbor_jobs/terminalbench/devstral24b/devstral24b-otrc-ss-partial-r2-1788684822492
