cell,key,task,run_num,action,timestamp,resolved,reason,result_file,already_reevaluated_20260911,model_tag
d05__b15k__su-full,scikit-learn__scikit-learn-14496__summarization__r1,scikit-learn__scikit-learn-14496,1,evaluate_only,2026-03-31T05:42:59.570476,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14496__summarization__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-03-31T05:43:34.105713,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-15100__summarization__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-03-31T06:19:33.176754,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-15100__summarization__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-03-31T06:20:00.433051,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-15017__summarization__r1,sympy__sympy-15017,1,evaluate_only,2026-03-31T01:21:15.568196,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-15017__summarization__r2,sympy__sympy-15017,2,evaluate_only,2026-03-31T01:19:25.405637,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-19637__summarization__r1,sympy__sympy-19637,1,evaluate_only,2026-03-31T02:29:47.106538,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-19637__summarization__r2,sympy__sympy-19637,2,evaluate_only,2026-03-31T02:30:30.834734,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-19954__summarization__r3,sympy__sympy-19954,3,evaluate_only,2026-08-23T21:21:56.371590,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,django__django-15741__summarization-partial__r3,django__django-15741,3,evaluate_only,2026-08-23T19:22:21.124416,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-12585__summarization-partial__r3,scikit-learn__scikit-learn-12585,3,evaluate_only,2026-08-23T22:04:32.939466,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-12973__summarization-partial__r3,scikit-learn__scikit-learn-12973,3,evaluate_only,2026-08-23T22:11:39.834570,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__su-partial,sympy__sympy-18211__summarization-partial__r3,sympy__sympy-18211,3,evaluate_only,2026-08-23T21:19:36.311259,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-12276__truncation__r3,django__django-12276,3,evaluate_only,2026-08-23T17:58:26.945074,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-12304__truncation__r3,django__django-12304,3,evaluate_only,2026-08-23T18:03:29.274629,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-13809__truncation__r3,django__django-13809,3,evaluate_only,2026-08-23T18:15:23.751695,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-15741__truncation__r3,django__django-15741,3,evaluate_only,2026-08-23T19:23:43.333029,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,django__django-16667__truncation__r3,django__django-16667,3,evaluate_only,2026-08-23T19:36:48.795845,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-13142__truncation__r3,scikit-learn__scikit-learn-13142,3,evaluate_only,2026-08-23T22:29:42.177479,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-13439__truncation__r3,scikit-learn__scikit-learn-13439,3,evaluate_only,2026-08-23T22:29:14.504244,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-14141__truncation__r3,scikit-learn__scikit-learn-14141,3,evaluate_only,2026-08-23T22:41:50.233189,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-14496__truncation__r1,scikit-learn__scikit-learn-14496,1,evaluate_only,2026-03-31T05:41:36.065651,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-14496__truncation__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-03-31T05:42:49.936717,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-15100__truncation__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-03-31T06:17:29.676366,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-15100__truncation__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-03-31T06:18:54.127498,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-26323__truncation__r1,scikit-learn__scikit-learn-26323,1,evaluate_only,2026-03-31T07:46:01.948359,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-26323__truncation__r2,scikit-learn__scikit-learn-26323,2,evaluate_only,2026-03-31T07:32:51.002405,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-13372__truncation__r3,sympy__sympy-13372,3,evaluate_only,2026-08-23T20:01:40.732011,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-13798__truncation__r3,sympy__sympy-13798,3,evaluate_only,2026-08-23T20:20:41.990597,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-15017__truncation__r1,sympy__sympy-15017,1,evaluate_only,2026-03-31T01:18:54.558871,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-15017__truncation__r2,sympy__sympy-15017,2,evaluate_only,2026-03-31T01:21:18.725868,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-17139__truncation__r3,sympy__sympy-17139,3,evaluate_only,2026-08-23T20:58:21.772694,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-18211__truncation__r3,sympy__sympy-18211,3,evaluate_only,2026-08-23T21:19:13.536133,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-19637__truncation__r1,sympy__sympy-19637,1,evaluate_only,2026-03-31T02:28:10.879095,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-19637__truncation__r2,sympy__sympy-19637,2,evaluate_only,2026-03-31T02:28:36.513086,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-24443__truncation__r1,sympy__sympy-24443,1,evaluate_only,2026-03-31T03:34:33.817881,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-24443__truncation__r2,sympy__sympy-24443,2,evaluate_only,2026-03-31T03:36:30.161028,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__ss,scikit-learn__scikit-learn-14983__structured-summarize__r3,scikit-learn__scikit-learn-14983,3,evaluate_only,2026-08-24T15:40:24.640128,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__ss/experiment_results.json,False,qwen35-a3b
d05__b20k__ss-partial,sympy__sympy-13372__structured-summarize-partial__r3,sympy__sympy-13372,3,evaluate_only,2026-08-24T12:22:31.169706,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__ss-partial,sympy__sympy-15349__structured-summarize-partial__r3,sympy__sympy-15349,3,evaluate_only,2026-08-24T13:05:29.079306,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,django__django-12143__summarization__r3,django__django-12143,3,evaluate_only,2026-08-24T10:07:57.961585,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-13496__summarization__r3,scikit-learn__scikit-learn-13496,3,evaluate_only,2026-08-24T15:04:58.652659,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-14141__summarization__r3,scikit-learn__scikit-learn-14141,3,evaluate_only,2026-08-24T15:13:55.164710,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-25232__summarization__r3,scikit-learn__scikit-learn-25232,3,evaluate_only,2026-08-24T15:53:35.405658,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,sympy__sympy-13647__summarization__r3,sympy__sympy-13647,3,evaluate_only,2026-08-24T12:38:01.006873,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,sympy__sympy-18211__summarization__r3,sympy__sympy-18211,3,evaluate_only,2026-08-24T13:40:25.949145,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-full,sympy__sympy-19954__summarization__r3,sympy__sympy-19954,3,evaluate_only,2026-08-24T13:46:33.100692,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,False,qwen35-a3b
d05__b20k__su-partial,scikit-learn__scikit-learn-13496__summarization-partial__r3,scikit-learn__scikit-learn-13496,3,evaluate_only,2026-08-24T15:08:16.986296,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__su-partial,scikit-learn__scikit-learn-14053__summarization-partial__r3,scikit-learn__scikit-learn-14053,3,evaluate_only,2026-08-24T15:15:04.623147,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__su-partial,scikit-learn__scikit-learn-14983__summarization-partial__r3,scikit-learn__scikit-learn-14983,3,evaluate_only,2026-08-24T15:47:30.914460,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__su-partial,sympy__sympy-13372__summarization-partial__r3,sympy__sympy-13372,3,evaluate_only,2026-08-24T12:19:24.721888,False,legacy_top_report_verdict_mismatch,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__su-partial,sympy__sympy-17139__summarization-partial__r3,sympy__sympy-17139,3,evaluate_only,2026-08-24T13:15:45.300919,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,django__django-12304__truncation__r3,django__django-12304,3,evaluate_only,2026-08-24T10:23:09.909613,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-12973__truncation__r3,scikit-learn__scikit-learn-12973,3,evaluate_only,2026-08-24T14:40:36.842520,False,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-13135__truncation__r3,scikit-learn__scikit-learn-13135,3,evaluate_only,2026-08-24T14:55:17.470201,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-13142__truncation__r3,scikit-learn__scikit-learn-13142,3,evaluate_only,2026-08-24T15:00:38.232930,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-14141__truncation__r3,scikit-learn__scikit-learn-14141,3,evaluate_only,2026-08-24T15:12:54.134237,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-14894__truncation__r3,scikit-learn__scikit-learn-14894,3,evaluate_only,2026-08-24T15:33:19.739839,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
d05__b20k__tr,sympy__sympy-24661__truncation__r3,sympy__sympy-24661,3,evaluate_only,2026-08-24T14:18:43.155941,True,prediction_patch_mismatch_missing_internal_report,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,False,qwen35-a3b
di__b15k__trc,django__django-13012__tool-result-clear__r1,django__django-13012,1,evaluate_only,2026-04-08T18:55:39.346122,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,django__django-13012__tool-result-clear__r2,django__django-13012,2,evaluate_only,2026-04-08T18:57:06.653984,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-13328__tool-result-clear__r1,scikit-learn__scikit-learn-13328,1,evaluate_only,2026-04-09T00:15:59.965837,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-13328__tool-result-clear__r2,scikit-learn__scikit-learn-13328,2,evaluate_only,2026-04-09T00:15:18.893542,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-14496__tool-result-clear__r1,scikit-learn__scikit-learn-14496,1,evaluate_only,2026-04-09T00:43:28.784790,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-14496__tool-result-clear__r2,scikit-learn__scikit-learn-14496,2,evaluate_only,2026-04-09T00:42:58.640596,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-15100__tool-result-clear__r1,scikit-learn__scikit-learn-15100,1,evaluate_only,2026-04-09T01:06:22.210872,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-15100__tool-result-clear__r2,scikit-learn__scikit-learn-15100,2,evaluate_only,2026-04-09T01:08:08.549526,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-26323__tool-result-clear__r1,scikit-learn__scikit-learn-26323,1,evaluate_only,2026-04-09T01:48:42.713378,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-26323__tool-result-clear__r2,scikit-learn__scikit-learn-26323,2,evaluate_only,2026-04-09T01:49:42.727749,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,sympy__sympy-15017__tool-result-clear__r1,sympy__sympy-15017,1,evaluate_only,2026-04-08T22:09:17.607167,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,sympy__sympy-15017__tool-result-clear__r2,sympy__sympy-15017,2,evaluate_only,2026-04-08T22:11:19.437877,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,sympy__sympy-19637__tool-result-clear__r1,sympy__sympy-19637,1,evaluate_only,2026-04-08T22:54:51.437039,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,sympy__sympy-19637__tool-result-clear__r2,sympy__sympy-19637,2,evaluate_only,2026-04-08T22:55:15.590471,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,sympy__sympy-24443__tool-result-clear__r1,sympy__sympy-24443,1,evaluate_only,2026-04-08T23:31:48.350247,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__b15k__trc,sympy__sympy-24443__tool-result-clear__r2,sympy__sympy-24443,2,evaluate_only,2026-04-08T23:35:41.380677,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,False,qwen35-a3b
di__binf__fc,django__django-13012__full-context__r1,django__django-13012,1,evaluate_only,2026-03-30T19:59:44.058350,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,django__django-13012__full-context__r2,django__django-13012,2,evaluate_only,2026-03-30T19:55:54.948163,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
di__binf__fc,scikit-learn__scikit-learn-13328__full-context__r1,scikit-learn__scikit-learn-13328,1,evaluate_only,2026-03-31T04:55:44.781520,False,legacy_evaluation_reports_missing,ICLR_results/swebench/main/qwen35b/di__binf__fc/experiment_results.json,False,qwen35-a3b
