cell,key,task,run_num,action,reason,result_file,timestamp,resolved,model_tag
d05__b15k__ss-partial,scikit-learn__scikit-learn-14983__structured-summarize-partial__r1,scikit-learn__scikit-learn-14983,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,2026-05-01T00:15:04.815886,False,qwen35-a3b
d05__b15k__ss-partial,sympy__sympy-15875__structured-summarize-partial__r1,sympy__sympy-15875,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,2026-04-30T21:33:33.425196,False,qwen35-a3b
d05__b15k__ss-partial,scikit-learn__scikit-learn-14710__structured-summarize-partial__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/experiment_results.json,2026-09-07T23:45:05.280345,False,qwen35-a3b
d05__b15k__su-full,django__django-13809__summarization__r2,django__django-13809,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-04-30T17:36:58.950614,False,qwen35-a3b
d05__b15k__su-full,django__django-14915__summarization__r3,django__django-14915,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-08-25T20:12:36.646857,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14141__summarization__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-04-30T23:41:14.567905,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-26194__summarization__r1,scikit-learn__scikit-learn-26194,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-05-01T01:03:43.758194,False,qwen35-a3b
d05__b15k__su-full,sympy__sympy-13372__summarization__r1,sympy__sympy-13372,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-03-31T00:12:18.437215,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14710__summarization__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-09-08T19:47:24.671699,False,qwen35-a3b
d05__b15k__su-full,scikit-learn__scikit-learn-14710__summarization__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-full/experiment_results.json,2026-09-08T19:48:57.212211,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-11578__summarization-partial__r2,scikit-learn__scikit-learn-11578,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,2026-04-28T17:11:49.057197,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-14141__summarization-partial__r1,scikit-learn__scikit-learn-14141,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,2026-04-30T23:42:26.519246,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-14141__summarization-partial__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,2026-04-30T23:42:09.507041,False,qwen35-a3b
d05__b15k__su-partial,scikit-learn__scikit-learn-26194__summarization-partial__r1,scikit-learn__scikit-learn-26194,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__su-partial/experiment_results.json,2026-05-01T01:12:39.814774,False,qwen35-a3b
d05__b15k__tr,django__django-15741__truncation__r2,django__django-15741,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-04-30T19:12:30.591677,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-25102__truncation__r2,scikit-learn__scikit-learn-25102,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-05-01T00:25:12.201523,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-25232__truncation__r1,scikit-learn__scikit-learn-25232,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-05-01T00:28:18.116128,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-25973__truncation__r1,scikit-learn__scikit-learn-25973,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-05-01T01:03:27.049568,False,qwen35-a3b
d05__b15k__tr,scikit-learn__scikit-learn-26194__truncation__r2,scikit-learn__scikit-learn-26194,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-05-01T01:06:24.518857,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-13031__truncation__r3,sympy__sympy-13031,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-08-25T20:56:13.515018,False,qwen35-a3b
d05__b15k__tr,sympy__sympy-13372__truncation__r2,sympy__sympy-13372,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b15k__tr/experiment_results.json,2026-03-31T00:11:07.174252,False,qwen35-a3b
d05__b20k__ss,django__django-13809__structured-summarize__r2,django__django-13809,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__ss/experiment_results.json,2026-05-06T21:32:05.009584,False,qwen35-a3b
d05__b20k__ss,scikit-learn__scikit-learn-14710__structured-summarize__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__ss/experiment_results.json,2026-05-02T22:43:48.762693,False,qwen35-a3b
d05__b20k__ss-partial,django__django-11095__structured-summarize-partial__r2,django__django-11095,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,2026-05-02T19:25:45.301212,False,qwen35-a3b
d05__b20k__ss-partial,django__django-15741__structured-summarize-partial__r2,django__django-15741,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,2026-05-06T22:45:08.541450,False,qwen35-a3b
d05__b20k__ss-partial,scikit-learn__scikit-learn-14710__structured-summarize-partial__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__ss-partial/experiment_results.json,2026-05-02T22:46:46.979942,False,qwen35-a3b
d05__b20k__su-full,django__django-12273__summarization__r2,django__django-12273,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,2026-04-21T01:31:02.846623,False,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-13496__summarization__r2,scikit-learn__scikit-learn-13496,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,2026-05-06T23:31:59.530939,False,qwen35-a3b
d05__b20k__su-full,scikit-learn__scikit-learn-14710__summarization__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__su-full/experiment_results.json,2026-05-02T22:40:32.392758,False,qwen35-a3b
d05__b20k__su-partial,django__django-11095__summarization-partial__r2,django__django-11095,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,2026-05-06T20:52:38.066407,False,qwen35-a3b
d05__b20k__su-partial,scikit-learn__scikit-learn-14710__summarization-partial__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,2026-05-02T22:41:42.562358,False,qwen35-a3b
d05__b20k__su-partial,scikit-learn__scikit-learn-14710__summarization-partial__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__su-partial/experiment_results.json,2026-08-24T15:41:06.552403,False,qwen35-a3b
d05__b20k__tr,django__django-12276__truncation__r1,django__django-12276,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-05-06T20:55:06.495439,False,qwen35-a3b
d05__b20k__tr,django__django-13810__truncation__r1,django__django-13810,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-05-06T21:30:30.702985,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-10297__truncation__r1,scikit-learn__scikit-learn-10297,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-04-21T02:21:56.197970,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-14710__truncation__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-05-02T22:43:27.660244,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-14710__truncation__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-05-02T22:37:58.994128,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-14710__truncation__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-08-24T15:31:48.795336,False,qwen35-a3b
d05__b20k__tr,scikit-learn__scikit-learn-26323__truncation__r2,scikit-learn__scikit-learn-26323,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/d05__b20k__tr/experiment_results.json,2026-04-21T03:05:47.364849,False,qwen35-a3b
di__b10k__otrc-su-partial,scikit-learn__scikit-learn-14710__otrc-su-partial__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__otrc-su-partial/experiment_results.json,2026-05-05T02:02:51.343203,False,qwen35-a3b
di__b10k__otrc-su-partial,scikit-learn__scikit-learn-14710__otrc-su-partial__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__otrc-su-partial/experiment_results.json,2026-05-05T02:05:04.019582,False,qwen35-a3b
di__b10k__otrc-tr,scikit-learn__scikit-learn-14710__otrc-tr__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__otrc-tr/experiment_results.json,2026-05-05T02:03:21.006414,False,qwen35-a3b
di__b10k__otrc-tr,scikit-learn__scikit-learn-14710__otrc-tr__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__otrc-tr/experiment_results.json,2026-08-27T08:51:51.385219,False,qwen35-a3b
di__b10k__otrc-tr,scikit-learn__scikit-learn-14894__otrc-tr__r1,scikit-learn__scikit-learn-14894,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__otrc-tr/experiment_results.json,2026-05-05T02:05:28.973372,False,qwen35-a3b
di__b10k__trc,django__django-11292__tool-result-clear__r2,django__django-11292,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-04-20T20:37:04.161685,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-14710__tool-result-clear__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-05-03T20:12:59.204542,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-14710__tool-result-clear__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-05-03T20:19:59.491901,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-14710__tool-result-clear__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-08-27T04:29:25.211144,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-14894__tool-result-clear__r3,scikit-learn__scikit-learn-14894,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-08-27T04:35:02.742912,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-25102__tool-result-clear__r3,scikit-learn__scikit-learn-25102,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-08-27T04:49:55.010152,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-25232__tool-result-clear__r1,scikit-learn__scikit-learn-25232,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-05-03T20:36:28.896484,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-25232__tool-result-clear__r2,scikit-learn__scikit-learn-25232,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-05-03T20:40:01.472316,False,qwen35-a3b
di__b10k__trc,scikit-learn__scikit-learn-25232__tool-result-clear__r3,scikit-learn__scikit-learn-25232,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-08-27T04:36:31.247682,False,qwen35-a3b
di__b10k__trc,sympy__sympy-19637__tool-result-clear__r2,sympy__sympy-19637,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-04-21T00:02:31.039220,False,qwen35-a3b
di__b10k__trc,sympy__sympy-24661__tool-result-clear__r2,sympy__sympy-24661,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc/experiment_results.json,2026-05-03T19:28:27.315952,False,qwen35-a3b
di__b10k__trc-ss,django__django-17087__trc-ss__r3,django__django-17087,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc-ss/experiment_results.json,2026-08-27T23:19:22.317949,False,qwen35-a3b
di__b10k__trc-ss,scikit-learn__scikit-learn-14710__trc-ss__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc-ss/experiment_results.json,2026-05-03T20:22:31.680994,False,qwen35-a3b
di__b10k__trc-ss,scikit-learn__scikit-learn-14710__trc-ss__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc-ss/experiment_results.json,2026-08-27T04:32:30.533901,False,qwen35-a3b
di__b10k__trc-su,django__django-11292__trc-su__r3,django__django-11292,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc-su/experiment_results.json,2026-08-27T23:15:44.702897,False,qwen35-a3b
di__b10k__trc-su,scikit-learn__scikit-learn-14710__trc-su__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc-su/experiment_results.json,2026-05-03T20:17:22.061652,False,qwen35-a3b
di__b10k__trc-su,scikit-learn__scikit-learn-26194__trc-su__r1,scikit-learn__scikit-learn-26194,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b10k__trc-su/experiment_results.json,2026-05-03T20:59:41.532488,False,qwen35-a3b
di__b15k__otrc-ss-partial,django__django-14580__otrc-ss-partial__r1,django__django-14580,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-04-29T02:46:41.679262,False,qwen35-a3b
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14053__otrc-ss-partial__r2,scikit-learn__scikit-learn-14053,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-05-04T14:45:30.476535,False,qwen35-a3b
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14141__otrc-ss-partial__r1,scikit-learn__scikit-learn-14141,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-05-04T14:43:48.823025,False,qwen35-a3b
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14710__otrc-ss-partial__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-05-04T15:01:39.092637,False,qwen35-a3b
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14710__otrc-ss-partial__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-05-04T15:00:46.620771,False,qwen35-a3b
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14710__otrc-ss-partial__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-08-26T23:51:41.864682,False,qwen35-a3b
di__b15k__otrc-ss-partial,sympy__sympy-16450__otrc-ss-partial__r3,sympy__sympy-16450,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-ss-partial/experiment_results.json,2026-08-26T22:58:43.286010,False,qwen35-a3b
di__b15k__otrc-su-partial,scikit-learn__scikit-learn-13496__otrc-su-partial__r1,scikit-learn__scikit-learn-13496,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-su-partial/experiment_results.json,2026-05-04T14:39:25.516361,False,qwen35-a3b
di__b15k__otrc-su-partial,scikit-learn__scikit-learn-14141__otrc-su-partial__r2,scikit-learn__scikit-learn-14141,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-su-partial/experiment_results.json,2026-05-04T14:42:20.990646,False,qwen35-a3b
di__b15k__otrc-tr,scikit-learn__scikit-learn-14710__otrc-tr__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-tr/experiment_results.json,2026-05-04T14:57:26.335338,False,qwen35-a3b
di__b15k__otrc-tr,scikit-learn__scikit-learn-14710__otrc-tr__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-tr/experiment_results.json,2026-05-04T14:52:55.995543,False,qwen35-a3b
di__b15k__otrc-tr,scikit-learn__scikit-learn-14710__otrc-tr__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__otrc-tr/experiment_results.json,2026-08-26T23:54:53.796075,False,qwen35-a3b
di__b15k__trc,django__django-12663__tool-result-clear__r3,django__django-12663,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-08-26T16:24:50.456358,False,qwen35-a3b
di__b15k__trc,django__django-13810__tool-result-clear__r1,django__django-13810,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-05-03T06:28:55.187822,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-12682__tool-result-clear__r2,scikit-learn__scikit-learn-12682,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-04-08T23:56:38.832826,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-14710__tool-result-clear__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-05-03T09:57:40.973539,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-14710__tool-result-clear__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-05-03T09:54:20.200473,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-14710__tool-result-clear__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-08-26T18:14:45.712944,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-25232__tool-result-clear__r1,scikit-learn__scikit-learn-25232,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-05-03T10:24:35.520411,False,qwen35-a3b
di__b15k__trc,scikit-learn__scikit-learn-25232__tool-result-clear__r2,scikit-learn__scikit-learn-25232,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc/experiment_results.json,2026-05-03T10:17:32.719441,False,qwen35-a3b
di__b15k__trc-ss,scikit-learn__scikit-learn-14710__trc-ss__r1,scikit-learn__scikit-learn-14710,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-ss/experiment_results.json,2026-05-03T10:00:37.609680,False,qwen35-a3b
di__b15k__trc-ss,scikit-learn__scikit-learn-14710__trc-ss__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-ss/experiment_results.json,2026-05-03T10:04:45.750370,False,qwen35-a3b
di__b15k__trc-ss,scikit-learn__scikit-learn-14710__trc-ss__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-ss/experiment_results.json,2026-08-26T18:21:41.599252,False,qwen35-a3b
di__b15k__trc-ss,scikit-learn__scikit-learn-25232__trc-ss__r1,scikit-learn__scikit-learn-25232,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-ss/experiment_results.json,2026-05-03T10:26:16.583048,False,qwen35-a3b
di__b15k__trc-ss,scikit-learn__scikit-learn-25232__trc-ss__r2,scikit-learn__scikit-learn-25232,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-ss/experiment_results.json,2026-05-03T10:21:27.987441,False,qwen35-a3b
di__b15k__trc-su,django__django-15278__trc-su__r1,django__django-15278,1,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-su/experiment_results.json,2026-05-03T06:53:07.430870,False,qwen35-a3b
di__b15k__trc-su,scikit-learn__scikit-learn-14710__trc-su__r2,scikit-learn__scikit-learn-14710,2,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-su/experiment_results.json,2026-05-03T09:58:46.297470,False,qwen35-a3b
di__b15k__trc-su,scikit-learn__scikit-learn-14710__trc-su__r3,scikit-learn__scikit-learn-14710,3,evaluate_only,evaluation_error_recorded_as_false,ICLR_results/swebench/main/qwen35b/di__b15k__trc-su/experiment_results.json,2026-08-26T18:21:37.472613,False,qwen35-a3b
