benchmark	section	cohort_model_path	cell	key	task	condition	run	primitive	budget_tokens	depth	rerun_reason	rerun_priority	summary_marker_errors	exit_status	resolved	started_at_CDT	source_run_dir	source_trial_dir	harbor_job
terminalbench	main	glm47flash	d05__b3k__ss	pytorch-model-cli.hard__structured-summarize__r1	pytorch-model-cli.hard	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T19:56:04.962840-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/pytorch-model-cli.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/pytorch-model-cli.hard__tYPtaY6	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	raman-fitting.easy__structured-summarize__r1	raman-fitting.easy	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T19:49:33.941168-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/raman-fitting.easy/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/raman-fitting.easy__VEMzihN	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	sanitize-git-repo.hard__structured-summarize__r1	sanitize-git-repo.hard	structured-summarize	1	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T20:56:42.244529-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/sanitize-git-repo.hard__wtChF9C	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	super-benchmark-upet__structured-summarize__r1	super-benchmark-upet	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T20:31:24.557086-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/super-benchmark-upet/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/super-benchmark-upet__pzaHszr	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	swe-bench-astropy-2__structured-summarize__r1	swe-bench-astropy-2	structured-summarize	1	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T20:48:10.496846-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-astropy-2/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788742172351/swe-bench-astropy-2__fmXNKNq	glm47flash-structured-summarize-r1-1788742172351
terminalbench	main	glm47flash	d05__b3k__ss	blind-maze-explorer-5x5__structured-summarize__r2	blind-maze-explorer-5x5	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T22:31:58.843116-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-5x5/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/blind-maze-explorer-5x5__qeLPEKr	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	download-youtube__structured-summarize__r2	download-youtube	structured-summarize	2	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T22:25:22.081096-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/download-youtube/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/download-youtube__65AthDd	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	eval-mteb.hard__structured-summarize__r2	eval-mteb.hard	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T22:25:39.664589-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/eval-mteb.hard__vivjpj3	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	fibonacci-server__structured-summarize__r2	fibonacci-server	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T21:37:57.113053-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fibonacci-server/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/fibonacci-server__D8damg3	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	fix-pandas-version__structured-summarize__r2	fix-pandas-version	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-06T21:47:31.278964-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-pandas-version/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/fix-pandas-version__K68wdKL	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	git-workflow-hack__structured-summarize__r2	git-workflow-hack	structured-summarize	2	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T22:12:31.390709-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/git-workflow-hack/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/git-workflow-hack__D38W4qe	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	gpt2-codegolf__structured-summarize__r2	gpt2-codegolf	structured-summarize	2	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T21:41:07.691099-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/gpt2-codegolf/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/gpt2-codegolf__q4q7DZ5	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	password-recovery__structured-summarize__r2	password-recovery	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T22:18:56.779461-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/password-recovery/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/password-recovery__CYGAk36	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	prove-plus-comm__structured-summarize__r2	prove-plus-comm	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T21:24:12.617693-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/prove-plus-comm/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/prove-plus-comm__EnDN4XB	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	qemu-alpine-ssh__structured-summarize__r2	qemu-alpine-ssh	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T21:41:48.453018-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/qemu-alpine-ssh/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/qemu-alpine-ssh__a3sYEdT	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	raman-fitting.easy__structured-summarize__r2	raman-fitting.easy	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T21:24:12.609223-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/raman-fitting.easy/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/raman-fitting.easy__AY9MmuY	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	sanitize-git-repo.hard__structured-summarize__r2	sanitize-git-repo.hard	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T22:25:35.399398-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/sanitize-git-repo.hard__fWEyaav	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	sqlite-with-gcov__structured-summarize__r2	sqlite-with-gcov	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T21:35:46.302922-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sqlite-with-gcov/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/sqlite-with-gcov__vTgKBDc	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	super-benchmark-upet__structured-summarize__r2	super-benchmark-upet	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T22:09:44.257718-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/super-benchmark-upet/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/super-benchmark-upet__n2MW8Rb	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	swe-bench-astropy-2__structured-summarize__r2	swe-bench-astropy-2	structured-summarize	2	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T22:20:11.622947-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-astropy-2/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/swe-bench-astropy-2__ndpXSst	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	swe-bench-fsspec__structured-summarize__r2	swe-bench-fsspec	structured-summarize	2	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T21:52:13.394278-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-fsspec/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/swe-bench-fsspec__TVPky7Y	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	write-compressor__structured-summarize__r2	write-compressor	structured-summarize	2	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T22:17:24.586899-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/write-compressor/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788747850992/write-compressor__djNz4qs	glm47flash-structured-summarize-r2-1788747850992
terminalbench	main	glm47flash	d05__b3k__ss	crack-7z-hash.hard__structured-summarize__r3	crack-7z-hash.hard	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T23:45:35.090581-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/crack-7z-hash.hard/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/crack-7z-hash.hard__SiTV3sr	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	eval-mteb__structured-summarize__r3	eval-mteb	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-06T23:13:01.706719-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/eval-mteb__32RwunN	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	extract-moves-from-video__structured-summarize__r3	extract-moves-from-video	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T23:26:46.773738-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/extract-moves-from-video/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/extract-moves-from-video__ZyzH4MX	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	fix-git__structured-summarize__r3	fix-git	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T23:40:24.973402-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-git/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/fix-git__9PbnGB5	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	fix-pandas-version__structured-summarize__r3	fix-pandas-version	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	True	2026-09-06T23:18:44.415371-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-pandas-version/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/fix-pandas-version__u3rRVyX	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	git-workflow-hack__structured-summarize__r3	git-workflow-hack	structured-summarize	3	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T23:39:10.064211-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/git-workflow-hack/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/git-workflow-hack__wXRnrYj	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	heterogeneous-dates__structured-summarize__r3	heterogeneous-dates	structured-summarize	3	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-07T00:07:11.158149-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/heterogeneous-dates/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/heterogeneous-dates__kavr7M8	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	hf-model-inference__structured-summarize__r3	hf-model-inference	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T23:16:18.064805-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/hf-model-inference/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/hf-model-inference__cwEyrz5	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	processing-pipeline__structured-summarize__r3	processing-pipeline	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T23:23:17.491823-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/processing-pipeline/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/processing-pipeline__wE9HfbE	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	pytorch-model-cli.hard__structured-summarize__r3	pytorch-model-cli.hard	structured-summarize	3	structured_summarize	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-06T23:02:38.077640-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/pytorch-model-cli.hard/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/pytorch-model-cli.hard__DPENsq8	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	raman-fitting.easy__structured-summarize__r3	raman-fitting.easy	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T22:56:06.623127-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/raman-fitting.easy/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/raman-fitting.easy__nzPgvSX	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	sanitize-git-repo__structured-summarize__r3	sanitize-git-repo	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T23:20:10.057116-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/sanitize-git-repo__iPUzL2W	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	super-benchmark-upet__structured-summarize__r3	super-benchmark-upet	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T23:26:47.761511-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/super-benchmark-upet/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/super-benchmark-upet__GVhWGUS	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	swe-bench-astropy-2__structured-summarize__r3	swe-bench-astropy-2	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	Submitted	False	2026-09-06T23:48:29.269973-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-astropy-2/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/swe-bench-astropy-2__AVfph38	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss	write-compressor__structured-summarize__r3	write-compressor	structured-summarize	3	structured_summarize	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-06T23:41:57.614162-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/write-compressor/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788753365077/write-compressor__mbLaegb	glm47flash-structured-summarize-r3-1788753365077
terminalbench	main	glm47flash	d05__b3k__ss-partial	gpt2-codegolf__structured-summarize-partial__r1	gpt2-codegolf	structured-summarize-partial	1	structured_summarize_partial	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-07T00:46:40.102009-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss-partial/gpt2-codegolf/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788758986328/gpt2-codegolf__fNWEHRR	glm47flash-structured-summarize-partial-r1-1788758986328
terminalbench	main	glm47flash	d05__b3k__ss-partial	intrusion-detection__structured-summarize-partial__r1	intrusion-detection	structured-summarize-partial	1	structured_summarize_partial	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-07T01:16:11.848953-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss-partial/intrusion-detection/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788758986328/intrusion-detection__st2k8pa	glm47flash-structured-summarize-partial-r1-1788758986328
terminalbench	main	glm47flash	d05__b3k__ss-partial	path-tracing-reverse__structured-summarize-partial__r1	path-tracing-reverse	structured-summarize-partial	1	structured_summarize_partial	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-07T00:36:13.758541-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss-partial/path-tracing-reverse/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788758986328/path-tracing-reverse__4r47xKK	glm47flash-structured-summarize-partial-r1-1788758986328
terminalbench	main	glm47flash	d05__b3k__ss-partial	raman-fitting.easy__structured-summarize-partial__r1	raman-fitting.easy	structured-summarize-partial	1	structured_summarize_partial	3000	0.5	tb_erasure_possible	probable	0	CancelledError	False	2026-09-07T00:29:47.909250-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss-partial/raman-fitting.easy/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788758986328/raman-fitting.easy__EeVLaj9	glm47flash-structured-summarize-partial-r1-1788758986328
terminalbench	main	glm47flash	d05__b3k__ss-partial	sanitize-git-repo.hard__structured-summarize-partial__r1	sanitize-git-repo.hard	structured-summarize-partial	1	structured_summarize_partial	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-07T01:38:39.941274-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss-partial/sanitize-git-repo.hard/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788758986328/sanitize-git-repo.hard__CsdKPvY	glm47flash-structured-summarize-partial-r1-1788758986328
terminalbench	main	glm47flash	d05__b3k__ss-partial	super-benchmark-upet__structured-summarize-partial__r1	super-benchmark-upet	structured-summarize-partial	1	structured_summarize_partial	3000	0.5	summary_failure_accounting	priority	0	CancelledError	False	2026-09-07T01:12:59.956011-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss-partial/super-benchmark-upet/structured-summarize-partial/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-partial-r1-1788758986328/super-benchmark-upet__dK9Rc3c	glm47flash-structured-summarize-partial-r1-1788758986328
