path,index,preceding_role,preceding_is_summary,preceding_has_think
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/django__django-13964/structured-summarize/run_1/trajectory.json,4,user,False,False
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/sympy__sympy-13757/structured-summarize/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/scikit-learn__scikit-learn-11310/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/ablation/qwen35b/d07__b10k__ss/scikit-learn__scikit-learn-10908/structured-summarize/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-13091/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/django__django-12325/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15875/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/django__django-14351/structured-summarize/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/scikit-learn__scikit-learn-13328/structured-summarize/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15345/structured-summarize/run_2/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15345/structured-summarize/run_2/trajectory.json,4,user,False,False
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15345/structured-summarize/run_2/trajectory.json,5,user,False,False
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15345/structured-summarize/run_2/trajectory.json,6,user,False,False
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15345/structured-summarize/run_2/trajectory.json,7,user,False,False
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/sympy__sympy-15345/structured-summarize/run_2/trajectory.json,8,user,False,False
ICLR_results/swebench/main/qwen35b/d05__b15k__ss/django__django-11734/structured-summarize/run_3/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/django__django-11087/structured-summarize-partial/run_1/trajectory.json,3,user,True,True
ICLR_results/swebench/main/qwen35b/d05__b15k__ss-partial/django__django-15278/structured-summarize-partial/run_3/trajectory.json,18,user,False,False
