cell,task,key,reason,resolved_audit_20260910,resolved_index_now,already_reeval_20260911,resolved_reeval_20260923,verdict_source,status,error
d05__b15k__tr,django__django-15741,django__django-15741__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__tr,django__django-16667,django__django-16667__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-13142,scikit-learn__scikit-learn-13142__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-13439,scikit-learn__scikit-learn-13439__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__truncation__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__truncation__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__truncation__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__truncation__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-25102,scikit-learn__scikit-learn-25102__truncation__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-25232,scikit-learn__scikit-learn-25232__truncation__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-25973,scikit-learn__scikit-learn-25973__truncation__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-26194,scikit-learn__scikit-learn-26194__truncation__r2,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-26323,scikit-learn__scikit-learn-26323__truncation__r1,legacy_evaluation_reports_missing,False,False,False,False,report,verified,
d05__b15k__tr,scikit-learn__scikit-learn-26323,scikit-learn__scikit-learn-26323__truncation__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,sympy__sympy-13031,sympy__sympy-13031__truncation__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b15k__tr,sympy__sympy-13372,sympy__sympy-13372__truncation__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b15k__tr,sympy__sympy-13372,sympy__sympy-13372__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b15k__tr,sympy__sympy-13798,sympy__sympy-13798__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__tr,sympy__sympy-15017,sympy__sympy-15017__truncation__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,sympy__sympy-15017,sympy__sympy-15017__truncation__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,sympy__sympy-17139,sympy__sympy-17139__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__tr,sympy__sympy-18211,sympy__sympy-18211__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b15k__tr,sympy__sympy-19637,sympy__sympy-19637__truncation__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,sympy__sympy-19637,sympy__sympy-19637__truncation__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,sympy__sympy-24443,sympy__sympy-24443__truncation__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b15k__tr,sympy__sympy-24443,sympy__sympy-24443__truncation__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
d05__b20k__ss,django__django-13809,django__django-13809__structured-summarize__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__ss,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__structured-summarize__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__ss,scikit-learn__scikit-learn-14983,scikit-learn__scikit-learn-14983__structured-summarize__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b20k__ss-partial,django__django-11095,django__django-11095__structured-summarize-partial__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__ss-partial,django__django-15741,django__django-15741__structured-summarize-partial__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__ss-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__structured-summarize-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__ss-partial,sympy__sympy-13372,sympy__sympy-13372__structured-summarize-partial__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b20k__ss-partial,sympy__sympy-15349,sympy__sympy-15349__structured-summarize-partial__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b20k__su-full,django__django-12143,django__django-12143__summarization__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b20k__su-full,django__django-12273,django__django-12273__summarization__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__su-full,scikit-learn__scikit-learn-13496,scikit-learn__scikit-learn-13496__summarization__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__su-full,scikit-learn__scikit-learn-13496,scikit-learn__scikit-learn-13496__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-full,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-full,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__summarization__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__su-full,scikit-learn__scikit-learn-25232,scikit-learn__scikit-learn-25232__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-full,sympy__sympy-13647,sympy__sympy-13647__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-full,sympy__sympy-18211,sympy__sympy-18211__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-full,sympy__sympy-19954,sympy__sympy-19954__summarization__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-partial,django__django-11095,django__django-11095__summarization-partial__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__su-partial,scikit-learn__scikit-learn-13496,scikit-learn__scikit-learn-13496__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-partial,scikit-learn__scikit-learn-14053,scikit-learn__scikit-learn-14053__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__su-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__summarization-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__su-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__summarization-partial__r3,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__su-partial,scikit-learn__scikit-learn-14983,scikit-learn__scikit-learn-14983__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b20k__su-partial,sympy__sympy-13372,sympy__sympy-13372__summarization-partial__r3,legacy_top_report_verdict_mismatch,False,False,False,True,report,verified,
d05__b20k__su-partial,sympy__sympy-17139,sympy__sympy-17139__summarization-partial__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b20k__tr,django__django-12276,django__django-12276__truncation__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__tr,django__django-12304,django__django-12304__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__tr,django__django-13810,django__django-13810__truncation__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__tr,scikit-learn__scikit-learn-10297,scikit-learn__scikit-learn-10297__truncation__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__tr,scikit-learn__scikit-learn-12973,scikit-learn__scikit-learn-12973__truncation__r3,prediction_patch_mismatch_missing_internal_report,False,False,False,False,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-13135,scikit-learn__scikit-learn-13135__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-13142,scikit-learn__scikit-learn-13142__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__truncation__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__truncation__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__truncation__r3,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-14894,scikit-learn__scikit-learn-14894__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
d05__b20k__tr,scikit-learn__scikit-learn-26323,scikit-learn__scikit-learn-26323__truncation__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
d05__b20k__tr,sympy__sympy-24661,sympy__sympy-24661__truncation__r3,prediction_patch_mismatch_missing_internal_report,True,True,False,True,report,verified,
di__b10k__otrc-su-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-su-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__otrc-su-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-su-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__otrc-tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-tr__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__otrc-tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-tr__r3,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__otrc-tr,scikit-learn__scikit-learn-14894,scikit-learn__scikit-learn-14894__otrc-tr__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc,django__django-11292,django__django-11292__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__tool-result-clear__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__trc,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__trc,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__tool-result-clear__r3,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__trc,scikit-learn__scikit-learn-14894,scikit-learn__scikit-learn-14894__tool-result-clear__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc,scikit-learn__scikit-learn-25102,scikit-learn__scikit-learn-25102__tool-result-clear__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc,scikit-learn__scikit-learn-25232,scikit-learn__scikit-learn-25232__tool-result-clear__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
di__b10k__trc,scikit-learn__scikit-learn-25232,scikit-learn__scikit-learn-25232__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
di__b10k__trc,scikit-learn__scikit-learn-25232,scikit-learn__scikit-learn-25232__tool-result-clear__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc,sympy__sympy-19637,sympy__sympy-19637__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc,sympy__sympy-24661,sympy__sympy-24661__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc-ss,django__django-17087,django__django-17087__trc-ss__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc-ss,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__trc-ss__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
di__b10k__trc-ss,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__trc-ss__r3,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__trc-su,django__django-11292,django__django-11292__trc-su__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b10k__trc-su,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__trc-su__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b10k__trc-su,scikit-learn__scikit-learn-26194,scikit-learn__scikit-learn-26194__trc-su__r1,legacy_evaluation_error_missing_log,False,False,True,False,report,verified,
di__b15k__otrc-ss-partial,django__django-14580,django__django-14580__otrc-ss-partial__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14053,scikit-learn__scikit-learn-14053__otrc-ss-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__otrc-ss-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-ss-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-ss-partial,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-ss-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-ss-partial,sympy__sympy-16450,sympy__sympy-16450__otrc-ss-partial__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b15k__otrc-su-partial,scikit-learn__scikit-learn-13496,scikit-learn__scikit-learn-13496__otrc-su-partial__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-su-partial,scikit-learn__scikit-learn-14141,scikit-learn__scikit-learn-14141__otrc-su-partial__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-tr__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__otrc-tr,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__otrc-tr__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__trc,django__django-12663,django__django-12663__tool-result-clear__r3,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b15k__trc,django__django-13012,django__django-13012__tool-result-clear__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,django__django-13012,django__django-13012__tool-result-clear__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,django__django-13810,django__django-13810__tool-result-clear__r1,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b15k__trc,scikit-learn__scikit-learn-12682,scikit-learn__scikit-learn-12682__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,False,True,False,patch_apply_failed,verified,
di__b15k__trc,scikit-learn__scikit-learn-13328,scikit-learn__scikit-learn-13328__tool-result-clear__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-13328,scikit-learn__scikit-learn-13328__tool-result-clear__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__tool-result-clear__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-14496,scikit-learn__scikit-learn-14496__tool-result-clear__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__tool-result-clear__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-14710,scikit-learn__scikit-learn-14710__tool-result-clear__r2,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__tool-result-clear__r1,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-15100,scikit-learn__scikit-learn-15100__tool-result-clear__r2,legacy_evaluation_reports_missing,False,False,False,True,report,verified,
di__b15k__trc,scikit-learn__scikit-learn-25232,scikit-learn__scikit-learn-25232__tool-result-clear__r1,legacy_evaluation_error_missing_log,False,True,True,True,report,verified,
