benchmark,section,cohort_model_path,cell,model,primitive,budget_tokens,depth,task,condition,run,summary_condition,trajectory,resolved_dir,source_status,exit_status,banners,headers,max_step,api_calls,token_log_steps,compression_events,log_errors,traj_errors,agent_failures,summary_failures_raw,summary_failures_confirmed,summary_failures_uncorroborated,tail_errors,tail_unresolved,unexplained_steps,fake_headers,fake_errors,interleaved_headers,decode_errors,log_time_delta_s,consistent,monotonic,single_process,structure_ok,log_time_ok,verdict,prior_rerun_reason,prior_classification
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-14351,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14351/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14351/full-context/run_3,exact,BadRequestError,1,94,96,97,94,0,2,2,2,0,0,0,0,0,1,0,0,0,0,1.3,True,True,True,False,True,inconsistent,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-14580,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14580/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14580/full-context/run_3,exact,Submitted,1,5,54,54,49,0,0,5,0,0,0,0,0,0,49,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-14999,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14999/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14999/full-context/run_2,exact,Submitted,1,64,62,55,54,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-14999,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14999/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-14999/full-context/run_3,exact,Submitted,1,12,64,64,62,0,0,2,0,0,0,0,0,0,52,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-17087,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-17087/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-17087/full-context/run_2,exact,Submitted,1,13,84,84,83,0,0,1,0,0,0,0,0,0,71,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,django__django-17087,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-17087/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/django__django-17087/full-context/run_3,exact,Submitted,1,92,84,79,79,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-10297,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-10297/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-10297/full-context/run_2,exact,Submitted,1,144,125,104,104,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-10908,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-10908/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-10908/full-context/run_3,exact,Submitted,1,17,76,76,74,0,0,2,0,0,0,0,0,0,59,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-11310,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-11310/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-11310/full-context/run_2,exact,Submitted,1,9,73,73,73,0,0,0,0,0,0,0,0,0,64,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-13328,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-13328/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-13328/full-context/run_2,exact,Submitted,1,21,69,69,68,0,0,1,0,0,0,0,0,0,48,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-13779,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-13779/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-13779/full-context/run_2,exact,Submitted,1,74,70,70,70,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-13779,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-13779/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-13779/full-context/run_3,exact,Submitted,1,6,63,63,63,0,0,0,0,0,0,0,0,0,57,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-14496,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-14496/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-14496/full-context/run_3,exact,Submitted,1,12,44,44,44,0,0,0,0,0,0,0,0,0,32,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-15100,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-15100/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-15100/full-context/run_2,exact,Submitted,1,60,59,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0,True,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-15100,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-15100/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-15100/full-context/run_3,exact,Submitted,1,26,44,44,44,0,0,0,0,0,0,0,0,0,18,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-25747,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-25747/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-25747/full-context/run_2,exact,Submitted,1,48,54,54,54,0,0,0,0,0,0,0,0,0,6,0,0,0,0,-0.0,False,True,True,False,True,inconsistent,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-25747,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-25747/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-25747/full-context/run_3,exact,Submitted,1,79,72,72,70,0,2,2,2,0,0,0,0,0,0,0,0,0,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-26323,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-26323/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-26323/full-context/run_2,exact,Submitted,1,46,68,68,68,0,0,0,0,0,0,0,0,0,22,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,scikit-learn__scikit-learn-26323,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-26323/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/scikit-learn__scikit-learn-26323/full-context/run_3,exact,,1,49,57,57,49,0,3,8,3,0,0,0,0,0,5,0,1,0,0,0.0,True,True,True,False,True,inconsistent,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,sympy__sympy-11618,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-11618/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-11618/full-context/run_3,exact,Submitted,1,40,48,48,47,0,0,1,0,0,0,0,0,0,8,0,0,0,0,-0.0,False,True,True,False,True,inconsistent,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,sympy__sympy-13031,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13031/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13031/full-context/run_2,exact,Submitted,1,106,115,115,115,0,0,0,0,0,0,0,0,0,9,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,sympy__sympy-13031,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13031/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13031/full-context/run_3,exact,,1,114,125,125,124,0,0,1,0,0,0,0,0,0,11,1,0,1,0,0.0,False,True,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,sympy__sympy-13091,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13091/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13091/full-context/run_2,exact,Submitted,1,90,84,75,73,0,2,2,2,0,0,0,0,0,3,3,0,2,2,-0.0,False,False,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,sympy__sympy-13091,full-context,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13091/full-context/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13091/full-context/run_3,exact,Submitted,1,112,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0,False,False,False,False,True,multi_run_log,,
swebench,main,devstral24b,di__binf__fc,hosted_vllm/mistralai/Devstral-Small-2-24B-Instruct-2512,truncation,999999999,0.5,sympy__sympy-13757,full-context,run_2,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13757/full-context/run_2/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/devstral24b/di__binf__fc/sympy__sympy-13757/full-context/run_2,exact,,1,157,125,125,123,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0.0,False,False,False,True,True,multi_run_log,,
swebench,main,glm47flash,di__binf__fc,hosted_vllm/zai-org/GLM-4.7-Flash,truncation,999999999,0.5,django__django-11734,full-context,run_1,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/django__django-11734/full-context/run_1/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/django__django-11734/full-context/run_1,exact,ContextWindowExceededError,1,92,96,97,92,0,4,4,4,0,0,0,0,0,1,0,0,0,0,1.3,True,True,True,False,True,inconsistent,,
swebench,main,glm47flash,di__binf__fc,hosted_vllm/zai-org/GLM-4.7-Flash,truncation,999999999,0.5,django__django-13964,full-context,run_1,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/django__django-13964/full-context/run_1/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/django__django-13964/full-context/run_1,exact,ContextWindowExceededError,1,99,102,103,99,0,3,3,3,0,0,0,0,0,1,0,0,0,0,1.3,True,True,True,False,True,inconsistent,,
swebench,main,glm47flash,di__binf__fc,hosted_vllm/zai-org/GLM-4.7-Flash,truncation,999999999,0.5,scikit-learn__scikit-learn-13142,full-context,run_1,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/scikit-learn__scikit-learn-13142/full-context/run_1/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/scikit-learn__scikit-learn-13142/full-context/run_1,exact,ContextWindowExceededError,1,68,68,69,68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2,True,True,True,False,True,inconsistent,,
swebench,main,glm47flash,di__binf__fc,hosted_vllm/zai-org/GLM-4.7-Flash,truncation,999999999,0.5,sympy__sympy-16450,full-context,run_1,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/sympy__sympy-16450/full-context/run_1/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/glm47flash/di__binf__fc/sympy__sympy-16450/full-context/run_1,exact,ContextWindowExceededError,1,115,115,116,115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.2,True,True,True,False,True,inconsistent,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-11087,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-11087/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-11087/truncation/run_3,exact,LimitsExceeded,1,124,125,125,124,12,3,0,2,1,0,1,0,0,3,0,0,0,1,0.0,True,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-11095,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-11095/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-11095/truncation/run_3,exact,Submitted,1,56,125,52,52,2,0,0,0,0,0,0,0,0,69,1,0,1,0,-0.0,False,True,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-12325,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-12325/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-12325/truncation/run_3,exact,LimitsExceeded,1,123,125,125,125,13,2,0,2,0,0,0,0,0,6,1,0,1,0,0.0,False,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-14725,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-14725/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-14725/truncation/run_3,exact,Submitted,1,75,125,73,71,8,2,1,2,0,0,0,0,0,48,1,0,1,0,0.0,False,True,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-15098,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-15098/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-15098/truncation/run_3,exact,LimitsExceeded,1,124,125,125,124,13,1,1,1,0,0,0,0,0,10,2,0,4,0,0.0,True,False,False,False,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-15278,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-15278/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-15278/truncation/run_3,exact,LimitsExceeded,1,130,125,125,122,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0,False,False,False,True,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,django__django-17084,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-17084/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/django__django-17084/truncation/run_3,exact,LimitsExceeded,1,153,125,125,122,4,5,0,5,0,0,0,0,0,0,1,0,1,0,-0.0,False,False,False,True,True,multi_run_log,,
swebench,main,qwen35b,d05__b10k__tr,hosted_vllm/Qwen/Qwen3.5-35B-A3B,truncation,10000,0.5,scikit-learn__scikit-learn-12682,truncation,run_3,False,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-12682/truncation/run_3/trajectory.json,/home/ak58925/agentCtx/ICLR_results/swebench/main/qwen35b/d05__b10k__tr/scikit-learn__scikit-learn-12682/truncation/run_3,exact,LimitsExceeded,1,138,125,125,119,13,7,0,7,0,0,0,0,0,4,1,0,1,0,-0.0,False,False,False,False,True,multi_run_log,,
