cell	key	task	condition	run	started_at_CDT	source_run_dir	source_job_dir
d05__b3k__ss	fix-git__structured-summarize__r1	fix-git	structured-summarize	1	2026-09-06T07:03:25.340710-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-git/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	fix-pandas-version__structured-summarize__r1	fix-pandas-version	structured-summarize	1	2026-09-06T06:36:27.011716-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-pandas-version/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	fix-permissions__structured-summarize__r1	fix-permissions	structured-summarize	1	2026-09-06T06:23:37.136891-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-permissions/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	git-workflow-hack__structured-summarize__r1	git-workflow-hack	structured-summarize	1	2026-09-06T07:01:03.834855-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/git-workflow-hack/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	gpt2-codegolf__structured-summarize__r1	gpt2-codegolf	structured-summarize	1	2026-09-06T06:30:03.767280-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/gpt2-codegolf/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	heterogeneous-dates__structured-summarize__r1	heterogeneous-dates	structured-summarize	1	2026-09-06T08:28:47.371078-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/heterogeneous-dates/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	hf-model-inference__structured-summarize__r1	hf-model-inference	structured-summarize	1	2026-09-06T06:33:29.654338-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/hf-model-inference/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	incompatible-python-fasttext__structured-summarize__r1	incompatible-python-fasttext	structured-summarize	1	2026-09-06T06:13:11.469735-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/incompatible-python-fasttext/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	intrusion-detection__structured-summarize__r1	intrusion-detection	structured-summarize	1	2026-09-06T07:00:30.732138-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/intrusion-detection/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	modernize-fortran-build__structured-summarize__r1	modernize-fortran-build	structured-summarize	1	2026-09-06T06:46:18.151203-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/modernize-fortran-build/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	new-encrypt-command__structured-summarize__r1	new-encrypt-command	structured-summarize	1	2026-09-06T06:59:12.278448-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/new-encrypt-command/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	password-recovery__structured-summarize__r1	password-recovery	structured-summarize	1	2026-09-06T07:07:29.024201-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/password-recovery/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	path-tracing-reverse__structured-summarize__r1	path-tracing-reverse	structured-summarize	1	2026-09-06T06:17:25.843885-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/path-tracing-reverse/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	processing-pipeline__structured-summarize__r1	processing-pipeline	structured-summarize	1	2026-09-06T06:44:49.438741-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/processing-pipeline/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	prove-plus-comm__structured-summarize__r1	prove-plus-comm	structured-summarize	1	2026-09-06T06:13:11.474034-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/prove-plus-comm/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	pytorch-model-cli.hard__structured-summarize__r1	pytorch-model-cli.hard	structured-summarize	1	2026-09-06T06:19:42.186454-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/pytorch-model-cli.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	qemu-alpine-ssh__structured-summarize__r1	qemu-alpine-ssh	structured-summarize	1	2026-09-06T06:30:21.142488-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/qemu-alpine-ssh/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	qemu-startup__structured-summarize__r1	qemu-startup	structured-summarize	1	2026-09-06T07:13:55.364106-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/qemu-startup/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	raman-fitting.easy__structured-summarize__r1	raman-fitting.easy	structured-summarize	1	2026-09-06T06:13:11.465529-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/raman-fitting.easy/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	sanitize-git-repo__structured-summarize__r1	sanitize-git-repo	structured-summarize	1	2026-09-06T06:38:26.467013-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	sanitize-git-repo.hard__structured-summarize__r1	sanitize-git-repo.hard	structured-summarize	1	2026-09-06T07:21:54.949054-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo.hard/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	solana-data__structured-summarize__r1	solana-data	structured-summarize	1	2026-09-06T06:23:49.206887-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/solana-data/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	sqlite-with-gcov__structured-summarize__r1	sqlite-with-gcov	structured-summarize	1	2026-09-06T06:24:16.797155-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sqlite-with-gcov/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	super-benchmark-upet__structured-summarize__r1	super-benchmark-upet	structured-summarize	1	2026-09-06T06:58:20.378933-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/super-benchmark-upet/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	swe-bench-astropy-2__structured-summarize__r1	swe-bench-astropy-2	structured-summarize	1	2026-09-06T07:13:23.360206-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-astropy-2/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	swe-bench-fsspec__structured-summarize__r1	swe-bench-fsspec	structured-summarize	1	2026-09-06T06:40:46.291496-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-fsspec/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	tmux-advanced-workflow__structured-summarize__r1	tmux-advanced-workflow	structured-summarize	1	2026-09-06T06:13:11.425007-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/tmux-advanced-workflow/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	write-compressor__structured-summarize__r1	write-compressor	structured-summarize	1	2026-09-06T07:06:58.458755-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/write-compressor/structured-summarize/run_1	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r1-1788693189827
d05__b3k__ss	blind-maze-explorer-5x5__structured-summarize__r2	blind-maze-explorer-5x5	structured-summarize	2	2026-09-06T10:18:41.525871-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-5x5/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	blind-maze-explorer-algorithm__structured-summarize__r2	blind-maze-explorer-algorithm	structured-summarize	2	2026-09-06T09:36:09.469484-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-algorithm/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	cartpole-rl-training__structured-summarize__r2	cartpole-rl-training	structured-summarize	2	2026-09-06T10:19:20.455305-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/cartpole-rl-training/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	count-dataset-tokens__structured-summarize__r2	count-dataset-tokens	structured-summarize	2	2026-09-06T09:07:13.630707-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/count-dataset-tokens/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	crack-7z-hash.hard__structured-summarize__r2	crack-7z-hash.hard	structured-summarize	2	2026-09-06T09:58:01.010753-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/crack-7z-hash.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	csv-to-parquet__structured-summarize__r2	csv-to-parquet	structured-summarize	2	2026-09-06T09:28:21.031406-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/csv-to-parquet/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	decommissioning-service-with-sensitive-data__structured-summarize__r2	decommissioning-service-with-sensitive-data	structured-summarize	2	2026-09-06T10:17:15.445558-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/decommissioning-service-with-sensitive-data/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	download-youtube__structured-summarize__r2	download-youtube	structured-summarize	2	2026-09-06T10:04:26.212529-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/download-youtube/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	eval-mteb__structured-summarize__r2	eval-mteb	structured-summarize	2	2026-09-06T09:19:10.439309-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	eval-mteb.hard__structured-summarize__r2	eval-mteb.hard	structured-summarize	2	2026-09-06T10:13:46.173621-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/eval-mteb.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	extract-moves-from-video__structured-summarize__r2	extract-moves-from-video	structured-summarize	2	2026-09-06T09:36:19.107476-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/extract-moves-from-video/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	fibonacci-server__structured-summarize__r2	fibonacci-server	structured-summarize	2	2026-09-06T09:17:38.000536-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fibonacci-server/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	fix-git__structured-summarize__r2	fix-git	structured-summarize	2	2026-09-06T09:51:37.759528-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-git/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	fix-pandas-version__structured-summarize__r2	fix-pandas-version	structured-summarize	2	2026-09-06T09:25:03.315304-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-pandas-version/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	fix-permissions__structured-summarize__r2	fix-permissions	structured-summarize	2	2026-09-06T09:11:27.693567-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/fix-permissions/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	git-workflow-hack__structured-summarize__r2	git-workflow-hack	structured-summarize	2	2026-09-06T09:49:36.851785-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/git-workflow-hack/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	gpt2-codegolf__structured-summarize__r2	gpt2-codegolf	structured-summarize	2	2026-09-06T09:18:35.882060-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/gpt2-codegolf/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	heterogeneous-dates__structured-summarize__r2	heterogeneous-dates	structured-summarize	2	2026-09-06T10:23:06.293186-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/heterogeneous-dates/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	hf-model-inference__structured-summarize__r2	hf-model-inference	structured-summarize	2	2026-09-06T09:24:05.107635-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/hf-model-inference/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	incompatible-python-fasttext__structured-summarize__r2	incompatible-python-fasttext	structured-summarize	2	2026-09-06T09:04:57.773098-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/incompatible-python-fasttext/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	intrusion-detection__structured-summarize__r2	intrusion-detection	structured-summarize	2	2026-09-06T09:47:45.779024-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/intrusion-detection/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	modernize-fortran-build__structured-summarize__r2	modernize-fortran-build	structured-summarize	2	2026-09-06T09:34:47.367397-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/modernize-fortran-build/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	new-encrypt-command__structured-summarize__r2	new-encrypt-command	structured-summarize	2	2026-09-06T09:46:36.252445-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/new-encrypt-command/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	password-recovery__structured-summarize__r2	password-recovery	structured-summarize	2	2026-09-06T09:56:01.439852-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/password-recovery/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	path-tracing-reverse__structured-summarize__r2	path-tracing-reverse	structured-summarize	2	2026-09-06T09:06:20.383516-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/path-tracing-reverse/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	processing-pipeline__structured-summarize__r2	processing-pipeline	structured-summarize	2	2026-09-06T09:32:59.692588-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/processing-pipeline/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	prove-plus-comm__structured-summarize__r2	prove-plus-comm	structured-summarize	2	2026-09-06T09:04:57.778099-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/prove-plus-comm/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	pytorch-model-cli.hard__structured-summarize__r2	pytorch-model-cli.hard	structured-summarize	2	2026-09-06T09:11:25.908931-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/pytorch-model-cli.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	qemu-alpine-ssh__structured-summarize__r2	qemu-alpine-ssh	structured-summarize	2	2026-09-06T09:18:39.429297-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/qemu-alpine-ssh/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	qemu-startup__structured-summarize__r2	qemu-startup	structured-summarize	2	2026-09-06T10:02:28.912770-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/qemu-startup/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	raman-fitting.easy__structured-summarize__r2	raman-fitting.easy	structured-summarize	2	2026-09-06T09:04:57.768207-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/raman-fitting.easy/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	sanitize-git-repo__structured-summarize__r2	sanitize-git-repo	structured-summarize	2	2026-09-06T09:26:36.736149-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	sanitize-git-repo.hard__structured-summarize__r2	sanitize-git-repo.hard	structured-summarize	2	2026-09-06T10:10:50.664699-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sanitize-git-repo.hard/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	solana-data__structured-summarize__r2	solana-data	structured-summarize	2	2026-09-06T09:12:08.183665-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/solana-data/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	sqlite-with-gcov__structured-summarize__r2	sqlite-with-gcov	structured-summarize	2	2026-09-06T09:12:46.391346-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/sqlite-with-gcov/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	super-benchmark-upet__structured-summarize__r2	super-benchmark-upet	structured-summarize	2	2026-09-06T09:42:43.353838-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/super-benchmark-upet/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	swe-bench-astropy-2__structured-summarize__r2	swe-bench-astropy-2	structured-summarize	2	2026-09-06T10:00:40.852792-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-astropy-2/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	swe-bench-fsspec__structured-summarize__r2	swe-bench-fsspec	structured-summarize	2	2026-09-06T09:29:03.941285-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/swe-bench-fsspec/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	tmux-advanced-workflow__structured-summarize__r2	tmux-advanced-workflow	structured-summarize	2	2026-09-06T09:04:57.724645-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/tmux-advanced-workflow/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	write-compressor__structured-summarize__r2	write-compressor	structured-summarize	2	2026-09-06T09:54:12.751196-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/write-compressor/structured-summarize/run_2	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r2-1788703495918
d05__b3k__ss	blind-maze-explorer-5x5__structured-summarize__r3	blind-maze-explorer-5x5	structured-summarize	3	2026-09-06T12:29:16.258380-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-5x5/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788711077451
d05__b3k__ss	blind-maze-explorer-algorithm__structured-summarize__r3	blind-maze-explorer-algorithm	structured-summarize	3	2026-09-06T11:47:01.292155-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/blind-maze-explorer-algorithm/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788711077451
d05__b3k__ss	cartpole-rl-training__structured-summarize__r3	cartpole-rl-training	structured-summarize	3	2026-09-06T12:30:13.897931-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/cartpole-rl-training/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788711077451
d05__b3k__ss	count-dataset-tokens__structured-summarize__r3	count-dataset-tokens	structured-summarize	3	2026-09-06T11:17:47.998483-05:00	ICLR_results/terminalbench/main/glm47flash/d05__b3k__ss/count-dataset-tokens/structured-summarize/run_3	logs/harbor_jobs/terminalbench/glm47flash/glm47flash-structured-summarize-r3-1788711077451
