task,run,model,section,primitive,condition,cell,budget,depth,difficulty,cohorts,cause,cause_label,cause_detail,resolved,failure_mode,exit_status,exit_status_source,harness_returncode,ctx_error_in_log,model_ctx_window,step_count,max_step_prompt_tokens,total_tokens,latency_e2e_s,latency_llm_s,patch_generated,compression_events,seeded_from,run_dir
sympy__sympy-17630,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,1-4 hours,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,49,16967,457546,216.77,174.12,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-17630/structured-summarize/run_1
sympy__sympy-17630,2,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,1-4 hours,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17758,1397777,397.21,344.992,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-17630/structured-summarize/run_2
sympy__sympy-17630,3,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,1-4 hours,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,59,17593,581636,303.03,226.117,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-17630/structured-summarize/run_3
sympy__sympy-19637,1,devstral24b,ablation,ss,structured-summarize,d03__b17k__ss,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17614,1326261,517.38,485.528,False,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss/sympy__sympy-19637/structured-summarize/run_1
django__django-11292,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,86,17953,907504,249.45,207.834,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-11292/structured-summarize-partial/run_3
django__django-12273,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17922,1301389,867.28,810.903,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-12273/structured-summarize-partial/run_1
django__django-12273,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18434,1314243,615.35,543.486,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-12273/structured-summarize-partial/run_2
django__django-12273,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18466,1239204,583.85,538.676,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-12273/structured-summarize-partial/run_3
django__django-13964,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,52,18413,530649,469.44,418.068,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-13964/structured-summarize-partial/run_1
django__django-13964,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,49,17947,534011,166.2,135.889,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-13964/structured-summarize-partial/run_2
django__django-13964,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,67,18310,729074,670.65,631.329,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/django__django-13964/structured-summarize-partial/run_3
scikit-learn__scikit-learn-10297,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17949,1391828,314.72,244.261,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-10297/structured-summarize-partial/run_1
scikit-learn__scikit-learn-10908,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,58,18325,639531,240.04,200.361,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-10908/structured-summarize-partial/run_1
scikit-learn__scikit-learn-10908,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,64,18505,758831,328.3,266.626,True,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-10908/structured-summarize-partial/run_2
scikit-learn__scikit-learn-11310,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,62,18323,670185,266.74,210.306,True,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-11310/structured-summarize-partial/run_2
scikit-learn__scikit-learn-11310,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,65,18442,688246,228.9,179.861,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-11310/structured-summarize-partial/run_3
scikit-learn__scikit-learn-11578,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,50,18161,621787,199.34,159.62,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/scikit-learn__scikit-learn-11578/structured-summarize-partial/run_2
sympy__sympy-11618,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,71,17597,731669,241.95,219.365,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-11618/structured-summarize-partial/run_3
sympy__sympy-13031,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,timeout,1500 s harness timeout,,False,silent_crash,,outcomes_csv,-1,False,65536,120,18024,1184125,1500.0,1175.172,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13031/structured-summarize-partial/run_1
sympy__sympy-13031,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",empty_patch,False,silent_crash,Submitted,outcomes_csv,0,,65536,50,15293,421800,146.24,108.091,False,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13031/structured-summarize-partial/run_2
sympy__sympy-13031,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18160,1263764,389.62,333.619,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13031/structured-summarize-partial/run_3
sympy__sympy-13091,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17745,1232900,309.6,262.899,False,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_1
sympy__sympy-13091,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18037,1192668,292.23,239.105,False,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_2
sympy__sympy-13091,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,104,18025,1085469,273.79,223.321,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13091/structured-summarize-partial/run_3
sympy__sympy-13757,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18044,1401775,662.09,581.402,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-13757/structured-summarize-partial/run_3
sympy__sympy-15345,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,<15 min fix,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17754,1287822,290.32,232.345,False,2,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-15345/structured-summarize-partial/run_1
sympy__sympy-17630,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,1-4 hours,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,57,17960,555816,486.69,439.694,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-17630/structured-summarize-partial/run_1
sympy__sympy-17630,2,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,1-4 hours,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17852,1332584,556.13,322.92,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-17630/structured-summarize-partial/run_2
sympy__sympy-17630,3,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,1-4 hours,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,17802,1389177,364.95,303.349,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-17630/structured-summarize-partial/run_3
sympy__sympy-24066,1,devstral24b,ablation,ss-partial,structured-summarize-partial,d03__b17k__ss-partial,17000,0.3,15 min - 1 hour,p100;abl30,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,60,17841,520633,437.75,403.204,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__ss-partial/sympy__sympy-24066/structured-summarize-partial/run_1
django__django-11292,1,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18213,1389303,553.51,474.589,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-11292/summarization/run_1
django__django-12273,1,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18867,1310905,794.29,662.623,False,4,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-12273/summarization/run_1
django__django-12273,2,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18449,1271306,616.03,514.658,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-12273/summarization/run_2
django__django-12273,3,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,15 min - 1 hour,p100;abl30;abl25,step_limit,125 step limit (LimitsExceeded),,False,limits_exceeded,LimitsExceeded,outcomes_csv,0,,65536,125,18945,1361606,618.51,519.088,False,3,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-12273/summarization/run_3
django__django-13964,1,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,66,18546,721209,335.24,293.534,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-13964/summarization/run_1
django__django-13964,3,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,15 min - 1 hour,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,60,18170,618490,206.78,177.785,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-13964/summarization/run_3
django__django-14580,1,devstral24b,ablation,su-full,summarization,d03__b17k__su-full,17000,0.3,<15 min fix,p100;abl30;abl25,submitted_unresolved,"agent submitted, patch did not resolve",wrong_patch,False,submitted_unresolved,Submitted,outcomes_csv,0,,65536,66,18478,647542,282.18,231.12,True,1,,ICLR_results/swebench/ablation/devstral24b/d03__b17k__su-full/django__django-14580/summarization/run_1
